club,Matches_Played,W,D,L,Goals,+/-,Pts
Real Madrid,4,4,0,0,11:4,7,12
Barcelona,3,3,0,0,11:1,10,9
Villarreal,4,2,1,1,5:1,4,7
Atlético Madrid,3,2,1,0,5:1,4,7
Athletic,2,2,0,0,8:1,7,6
Real Sociedad,3,2,0,1,3:2,1,6
Rayo Vallecano,4,1,1,2,5:5,0,4
Espanyol,3,1,1,1,4:4,0,4
Sevilla FC,4,1,1,2,6:7,-1,4
RCD Mallorca,3,1,1,1,3:4,-1,4
Real Betis,2,1,0,1,3:3,0,3
CA Osasuna,2,1,0,1,1:1,0,3
Getafe,3,1,0,2,4:8,-4,3
Cádiz CF,3,1,0,2,1:5,-4,3
Celta de Vigo,3,1,0,2,2:7,-5,3
Girona ,3,0,1,2,2:4,-2,1
UD Almería ,3,0,1,2,1:3,-2,1
Real Valladolid ,3,0,1,2,2:7,-5,1
Valencia,2,0,0,2,1:3,-2,0
Elche CF,3,0,0,3,0:10,-10,0
