club,Matches_Played,W,D,L,Goals,+/-,Pts
Real Betis,4,4,0,0,7:1,6,12
Valencia,4,3,0,1,9:2,7,9
CA Osasuna,4,3,0,1,6:4,2,9
Barcelona,3,2,1,0,7:0,7,7
Athletic,4,2,1,1,4:3,1,7
Real Madrid,2,2,0,0,6:2,4,6
Girona ,3,2,0,1,5:3,2,6
Villarreal,2,1,1,0,5:1,4,4
Celta de Vigo,3,1,1,1,6:6,0,4
RCD Mallorca,3,1,1,1,3:3,0,4
Real Sociedad,3,1,1,1,4:6,-2,4
Getafe,3,1,1,1,2:4,-2,4
Atlético Madrid,3,1,0,2,5:5,0,3
UD Almería ,3,1,0,2,3:4,-1,3
Rayo Vallecano,2,1,0,1,2:3,-1,3
Real Valladolid ,3,1,0,2,1:4,-3,3
Sevilla FC,2,0,1,1,1:4,-3,1
Elche CF,3,0,1,2,2:6,-4,1
Espanyol,3,0,0,3,3:8,-5,0
Cádiz CF,3,0,0,3,0:9,-9,0
