club,Matches_Played,W,D,L,Goals,+/-,Pts,last5
Barcelona,5,5,0,0,18:1,17,15,WWWWW
Real Madrid ,5,5,0,0,15:5,10,15,WWWWW
Athletic,5,4,0,1,12:4,8,12,WWLWW
Real Betis ,5,4,0,1,7:4,3,12,WWLWW
CA Osasuna,5,3,0,2,5:4,1,9,WLWWL
Villarreal,5,2,2,1,7:2,5,8,WDWLD
Atlético Madrid,5,2,1,2,7:6,1,7,LWDWL
Girona  ,5,2,1,2,7:6,1,7,WLDWL
RCD Mallorca,5,2,1,2,6:7,-1,7,LWDLW
Real Sociedad,5,2,1,2,6:8,-2,7,LWDLW
Getafe,5,2,1,2,6:9,-3,7,LDLWW
Valencia,5,2,0,3,9:5,4,6,LLWLW
Rayo Vallecano,5,2,0,3,7:8,-1,6,WLLWL
Celta de Vigo,5,2,0,3,6:11,-5,6,LWWLL
Sevilla FC,5,1,2,2,6:9,-3,5,DLLWD
UD Almería  ,5,1,1,3,3:5,-2,4,DWLLL
Real Valladolid  ,5,1,1,3,3:8,-5,4,DLWLL
Espanyol,5,1,0,4,5:10,-5,3,LLWLL
Cádiz CF,5,1,0,4,1:13,-12,3,LLLLW
Elche CF,5,0,1,4,2:13,-11,1,DLLLL
