club,Matches_Played,W,D,L,Goals,+/-,Pts
Real Madrid,6,6,0,0,17:6,11,18
Barcelona,6,5,1,0,18:1,17,16
Real Betis,6,5,0,1,10:4,6,15
Athletic,6,4,1,1,12:4,8,13
CA Osasuna,6,4,0,2,7:5,2,12
Villarreal,6,3,2,1,10:2,8,11
Atlético Madrid,6,3,1,2,10:6,4,10
Real Sociedad,6,3,1,2,7:8,-1,10
Valencia,6,3,0,3,10:5,5,9
RCD Mallorca,6,2,2,2,6:7,-1,8
Girona ,6,2,1,3,7:7,0,7
Rayo Vallecano,6,2,1,3,7:8,-1,7
Celta de Vigo,6,2,1,3,8:13,-5,7
Getafe,6,2,1,3,6:12,-6,7
Sevilla FC,6,1,2,3,7:11,-4,5
UD Almería ,6,1,1,4,4:7,-3,4
Espanyol,6,1,1,4,7:12,-5,4
Real Valladolid ,6,1,1,4,3:11,-8,4
Cádiz CF,6,1,0,5,1:14,-13,3
Elche CF,6,0,1,5,2:16,-14,1
