club,Matches_Played,W,D,L,Goals,+/-,Pts
Alavés ,3,2,1,0,5:3,2,7
Ponferradina,3,2,0,1,4:3,1,6
FC Cartagena,3,2,0,1,4:3,1,6
Albacete ,3,2,0,1,5:4,1,6
UD Las Palmas,3,1,2,0,5:1,4,5
CD Lugo,3,1,1,1,4:5,-1,4
FC Andorra ,4,1,1,2,3:7,-4,4
Real Oviedo,2,1,1,0,1:0,1,4
Real Zaragoza,3,1,1,1,2:2,0,4
Sporting Gijón,3,1,1,1,4:3,1,4
Granada CF ,3,1,0,2,2:5,-3,3
Villarreal CF B ,3,1,0,2,3:7,-4,3
Burgos CF,3,0,3,0,0:0,0,3
UD Ibiza,3,1,0,2,2:5,-3,3
Málaga CF,4,1,0,3,4:6,-2,3
Racing ,3,1,0,2,2:3,-1,3
Levante ,2,0,2,0,1:1,0,2
SD Huesca,3,0,1,2,2:4,-2,1
SD Eibar,3,0,1,2,3:6,-3,1
CD Leganés,3,0,0,3,0:3,-3,0
CD Tenerife,3,0,0,3,1:5,-4,0
CD Mirandés,3,0,0,3,1:6,-5,0
