club,Matches_Played,W,D,L,Goals,+/-,Pts
SD Eibar,3,3,0,0,7:1,6,9
Granada CF ,3,3,0,0,7:1,6,9
Levante ,4,2,1,1,6:2,4,7
Alavés ,3,2,1,0,4:2,2,7
Villarreal CF B ,3,2,1,0,8:3,5,7
CD Tenerife,3,2,1,0,5:2,3,7
UD Las Palmas,3,2,1,0,3:0,3,7
Burgos CF,3,2,1,0,2:0,2,7
FC Andorra ,2,2,0,0,3:0,3,6
FC Cartagena,3,2,0,1,5:4,1,6
SD Huesca,3,2,0,1,6:3,3,6
Real Zaragoza,3,1,1,1,2:2,0,4
Real Oviedo,4,1,1,2,2:3,-1,4
Sporting Gijón,3,1,1,1,4:3,1,4
CD Leganés,3,1,1,1,3:3,0,4
Albacete ,3,1,1,1,2:2,0,4
UD Ibiza,3,1,1,1,2:3,-1,4
CD Lugo,3,1,0,2,3:4,-1,3
Ponferradina,3,1,0,2,4:6,-2,3
CD Mirandés,3,0,2,1,3:5,-2,2
Racing ,3,0,1,2,0:3,-3,1
Málaga CF,2,0,0,2,1:6,-5,0
