club,Matches_Played,W,D,L,Goals,+/-,Pts,last5
FC Cartagena,5,4,0,1,7:4,3,12,WWLWW
UD Las Palmas,5,3,2,0,8:1,7,11,WWDWD
Alavés  ,5,3,2,0,7:4,3,11,WDDWW
Granada CF  ,5,3,0,2,7:6,1,9,WWLLW
Levante  ,5,2,2,1,7:3,4,8,DWDWL
Real Oviedo,5,2,2,1,3:2,1,8,WWDDL
SD Eibar,5,2,1,2,8:6,2,7,DWLWL
Sporting Gijón,5,2,1,2,7:5,2,7,WDWLL
Burgos CF,5,1,4,0,1:0,1,7,DDWDD
Albacete  ,5,2,1,2,5:5,0,7,DWWLL
CD Tenerife,5,2,1,2,5:5,0,7,DLWLW
Real Zaragoza,5,2,1,2,4:4,0,7,DLLWW
Villarreal CF B  ,5,2,1,2,9:10,-1,7,DLWLW
CD Lugo,5,2,1,2,6:7,-1,7,DWWLL
FC Andorra  ,5,2,1,2,5:7,-2,7,LLWDW
UD Ibiza,5,2,1,2,4:6,-2,7,LDLWW
SD Huesca,5,2,0,3,8:7,1,6,LLWWL
Ponferradina,5,2,0,3,5:7,-2,6,WLLLW
Racing  ,5,1,1,3,2:4,-2,4,LLLWD
CD Leganés,5,1,1,3,2:4,-2,4,LLWLD
Málaga CF,5,1,0,4,5:11,-6,3,LWLLL
CD Mirandés,5,0,1,4,3:10,-7,1,LLLDL
