club,Matches_Played,W,D,L,Goals,+/-,Pts
Alavés ,6,4,2,0,9:5,4,14
UD Las Palmas,6,3,3,0,8:1,7,12
Granada CF ,6,4,0,2,9:6,3,12
FC Cartagena,6,4,0,2,9:7,2,12
FC Andorra ,6,3,1,2,6:7,-1,10
Burgos CF,6,2,4,0,2:0,2,10
Villarreal CF B ,6,3,1,2,11:10,1,10
Albacete ,6,3,1,2,7:6,1,10
SD Eibar,6,3,1,2,10:7,3,10
Levante ,6,2,3,1,7:3,4,9
Ponferradina,6,3,0,3,8:9,-1,9
Real Zaragoza,6,2,2,2,4:4,0,8
Real Oviedo,6,2,2,2,3:3,0,8
Sporting Gijón,6,2,2,2,8:6,2,8
SD Huesca,6,2,1,3,8:7,1,7
UD Ibiza,6,2,1,3,4:8,-4,7
CD Lugo,6,2,1,3,7:9,-2,7
CD Tenerife,6,2,1,3,6:7,-1,7
CD Leganés,6,1,1,4,3:6,-3,4
Racing ,6,1,1,4,2:6,-4,4
Málaga CF,6,1,0,5,5:12,-7,3
CD Mirandés,6,0,2,4,4:11,-7,2
