name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
FC Barcelona,25,25.4,10,30.87,771.70
Real Sociedad,27,24.8,5,13.13,354.60
Sevilla FC,25,28.4,18,11.35,283.70
Athletic Bilbao,26,27.1,1,8.52,221.40
Getafe CF,24,27.1,12,6.39,153.40
CA Osasuna,24,27.6,5,4.98,119.40
Rayo Vallecano,27,28.0,10,3.31,89.50
UD Almería ,28,25.3,13,2.77,77.60
Cádiz CF,27,28.5,9,2.56,69.25
Real Valladolid CF ,24,27.8,9,2.60,62.50
Real Madrid,23,27.4,16,34.20,786.50
Atlético de Madrid,22,27.8,16,29.61,651.50
Villarreal CF,25,27.8,11,13.82,345.50
Real Betis Balompié,26,28.7,12,9.54,248.00
Valencia CF,24,23.9,14,8.47,203.20
Celta de Vigo,22,26.0,9,5.78,127.05
RCD Espanyol Barcelona,21,26.4,5,4.49,94.20
Girona FC ,26,25.7,9,3.23,84.10
Elche CF,25,27.9,9,3.07,76.80
RCD Mallorca,26,27.3,15,2.55,66.20
