club,Matches_Played,W,D,L,Goals,+/-,Pts
Real Madrid,5,5,0,0,12:4,8,15
Barcelona,4,4,0,0,12:1,11,12
Atlético Madrid,4,3,1,0,7:1,6,10
Real Sociedad,4,3,0,1,8:5,3,9
Villarreal,6,2,2,2,5:2,3,8
Athletic,3,2,1,0,9:2,7,7
Espanyol,4,1,2,1,6:6,0,5
CA Osasuna,3,1,1,1,2:2,0,4
Sevilla FC,4,1,1,2,6:7,-1,4
Valencia,4,1,1,2,5:6,-1,4
Real Betis,4,1,1,2,3:4,-1,4
RCD Mallorca,3,1,1,1,3:4,-1,4
Rayo Vallecano,5,1,1,3,6:8,-2,4
Real Valladolid ,4,1,1,2,5:9,-4,4
Getafe,3,1,0,2,4:8,-4,3
Cádiz CF,3,1,0,2,1:5,-4,3
Celta de Vigo,4,1,0,3,2:8,-6,3
Girona ,4,0,1,3,3:6,-3,1
UD Almería ,4,0,1,3,1:7,-6,1
Elche CF,4,0,0,4,1:12,-11,0
