club,Matches_Played,W,D,L,Goals,+/-,Pts
Real Betis,4,4,0,0,7:1,6,12
Athletic,5,3,1,1,8:3,5,10
Valencia,4,3,0,1,9:2,7,9
CA Osasuna,4,3,0,1,6:4,2,9
Barcelona,3,2,1,0,7:0,7,7
Real Madrid,3,2,1,0,7:3,4,7
Celta de Vigo,4,2,1,1,7:6,1,7
Girona ,4,2,0,2,8:8,0,6
Rayo Vallecano,3,2,0,1,4:4,0,6
Villarreal,2,1,1,0,5:1,4,4
RCD Mallorca,4,1,1,2,3:4,-1,4
Real Sociedad,3,1,1,1,4:6,-2,4
Getafe,4,1,1,2,4:7,-3,4
Atlético Madrid,3,1,0,2,5:5,0,3
UD Almería ,3,1,0,2,3:4,-1,3
Real Valladolid ,3,1,0,2,1:4,-3,3
Elche CF,3,0,1,2,2:6,-4,1
Espanyol,4,0,1,3,5:10,-5,1
Sevilla FC,3,0,1,2,1:6,-5,1
Cádiz CF,4,0,1,3,0:9,-9,1
