club,Matches_Played,W,D,L,Goals,+/-,Pts
Barcelona,8,7,1,0,20:1,19,22
Real Madrid,8,7,1,0,19:7,12,22
Athletic,8,5,2,1,17:5,12,17
Atlético Madrid,8,5,1,2,14:7,7,16
Real Betis,8,5,1,2,10:5,5,16
Real Sociedad,8,5,1,2,13:11,2,16
Valencia,8,4,1,3,14:8,6,13
CA Osasuna,8,4,1,3,9:8,1,13
Villarreal,8,3,3,2,10:3,7,12
Rayo Vallecano,8,3,1,4,10:12,-2,10
Celta de Vigo,8,3,1,4,9:14,-5,10
RCD Mallorca,8,2,3,3,7:9,-2,9
Real Valladolid ,8,2,2,4,6:13,-7,8
Girona ,8,2,1,5,11:14,-3,7
UD Almería ,8,2,1,5,7:12,-5,7
Getafe,8,2,1,5,8:16,-8,7
Espanyol,8,1,3,4,11:16,-5,6
Sevilla FC,8,1,3,4,8:14,-6,6
Cádiz CF,8,1,2,5,3:16,-13,5
Elche CF,8,0,2,6,4:19,-15,2
