club,Matches_Played,W,D,L,Goals,+/-,Pts
FC Cartagena,5,3,1,1,7:4,3,10
Albacete ,5,3,1,1,7:5,2,10
UD Las Palmas,5,2,3,0,9:4,5,9
Alavés ,5,2,2,1,6:7,-1,8
Burgos CF,5,1,4,0,1:0,1,7
Ponferradina,5,2,1,2,7:8,-1,7
Real Oviedo,4,1,3,0,2:1,1,6
Racing ,5,2,0,3,4:5,-1,6
FC Andorra ,6,1,3,2,4:8,-4,6
Levante ,5,1,3,1,3:4,-1,6
CD Lugo,5,1,2,2,7:9,-2,5
SD Huesca,5,1,2,2,3:4,-1,5
SD Eibar,5,1,2,2,5:7,-2,5
Sporting Gijón,5,1,2,2,5:9,-4,5
Granada CF ,5,1,1,3,2:7,-5,4
Villarreal CF B ,5,1,1,3,5:11,-6,4
Málaga CF,6,1,1,4,4:7,-3,4
Real Zaragoza,5,1,1,3,2:5,-3,4
UD Ibiza,5,1,1,3,3:7,-4,4
CD Leganés,5,1,0,4,2:5,-3,3
CD Tenerife,5,0,2,3,4:8,-4,2
CD Mirandés,4,0,1,3,1:6,-5,1
