club,Matches_Played,W,D,L,Goals,+/-,Pts,last5
FC Andorra  ,5,3,2,0,8:3,5,11,WDWDW
Alavés  ,5,3,2,0,9:5,4,11,DWWDW
SD Huesca,5,3,1,1,6:2,4,10,WWLWD
FC Cartagena,5,3,1,1,7:4,3,10,LWWDW
UD Las Palmas,5,2,3,0,7:4,3,9,DWDWD
UD Ibiza,5,3,0,2,6:7,-1,9,LWWLW
Villarreal CF B  ,5,2,2,1,8:6,2,8,WLWDD
CD Tenerife,5,2,2,1,7:5,2,8,WLWDD
SD Eibar,5,2,1,2,7:5,2,7,LWLWD
Burgos CF,5,1,4,0,1:0,1,7,WDDDD
Sporting Gijón,5,2,1,2,6:6,0,7,WLLWD
Albacete  ,5,2,1,2,6:6,0,7,WLLDW
Real Zaragoza,5,2,1,2,4:5,-1,7,LWWLD
Levante  ,5,1,2,2,6:6,0,5,DWLDL
Racing  ,5,1,2,2,3:3,0,5,LWDLD
CD Mirandés,5,1,2,2,7:9,-2,5,LDLWD
CD Leganés,5,1,1,3,3:5,-2,4,WLDLL
CD Lugo,5,1,1,3,6:9,-3,4,WLLDL
Ponferradina,5,1,1,3,6:10,-4,4,LLWDL
Granada CF  ,5,1,1,3,2:8,-6,4,LLWLD
Real Oviedo,5,0,3,2,2:5,-3,3,DDLDL
Málaga CF,5,0,2,3,3:7,-4,2,LLLDD
