club,Matches_Played,W,D,L,Goals,+/-,Pts
Alavés ,9,5,3,1,13:10,3,18
UD Las Palmas,9,4,5,0,13:4,9,17
FC Cartagena,9,5,1,3,14:11,3,16
Sporting Gijón,9,4,3,2,14:9,5,15
Burgos CF,9,3,6,0,5:0,5,15
Albacete ,9,4,3,2,11:9,2,15
FC Andorra ,9,4,3,2,10:9,1,15
SD Eibar,8,4,2,2,12:8,4,14
Granada CF ,9,4,2,3,9:8,1,14
SD Huesca,9,3,3,3,10:8,2,12
Villarreal CF B ,9,3,3,3,13:14,-1,12
Ponferradina,9,3,2,4,11:14,-3,11
UD Ibiza,9,3,2,4,8:12,-4,11
Levante ,9,2,4,3,8:7,1,10
Real Zaragoza,9,2,4,3,5:7,-2,10
Real Oviedo,9,2,4,3,5:7,-2,10
CD Tenerife,9,2,4,3,10:11,-1,10
CD Lugo,9,2,3,4,10:13,-3,9
Racing ,9,2,2,5,4:8,-4,8
CD Leganés,9,2,1,6,6:10,-4,7
Málaga CF,9,1,3,5,6:13,-7,6
CD Mirandés,8,1,3,4,9:14,-5,6
