name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
FC Barcelona,33,25.8,18,23.19,765.30
Sevilla FC,38,25.6,23,7.11,270.10
Villarreal CF,34,25.9,13,5.61,190.70
Real Sociedad,30,25.8,4,5.22,156.45
Deportivo de La Coruña,37,26.8,16,2.54,94.00
Málaga CF,32,26.0,16,2.63,84.30
Real Betis Balompié,28,26.3,13,3.01,84.20
SD Eibar,28,25.9,5,2.43,67.95
CD Leganés ,37,26.1,11,1.44,53.15
CA Osasuna ,37,25.5,9,1.16,42.90
Real Madrid,29,25.7,18,27.69,802.90
Atlético de Madrid,38,24.7,22,13.57,515.80
Valencia CF,38,24.9,18,6.78,257.50
Athletic Bilbao,30,26.9,1,5.75,172.60
Celta de Vigo,29,25.4,15,4.22,122.40
Deportivo Alavés ,30,25.3,11,2.85,85.40
UD Las Palmas,33,26.7,9,2.55,84.30
RCD Espanyol Barcelona,29,27.3,9,2.79,80.80
Granada CF,40,25.2,26,1.66,66.45
Sporting Gijón,31,25.8,9,1.51,46.75
