name,num_squad,mean_age,num_foreign,mean_val(mill),total_val(mill)
Getafe CF ,32,28.3,14,731Th,23.40
Sevilla Atlético ,35,20.7,9,629Th,22.00
Real Valladolid CF,31,25.4,8,645Th,20.00
RCD Mallorca,35,26.1,8,426Th,14.90
Córdoba CF,37,26.0,8,401Th,14.85
Gimnàstic de Tarragona,41,26.3,17,326Th,13.35
CD Tenerife,32,26.1,8,409Th,13.10
Cádiz CF ,32,27.8,4,397Th,12.70
Elche CF,35,26.5,4,333Th,11.65
CF Reus Deportiu ,27,27.7,6,374Th,10.10
CD Mirandés,28,26.8,0,343Th,9.60
Levante UD ,29,25.7,5,997Th,28.90
Girona FC,32,25.9,4,703Th,22.50
Rayo Vallecano ,34,27.4,12,599Th,20.35
UD Almería,42,26.2,9,395Th,16.60
Real Oviedo,30,28.1,3,495Th,14.85
Real Zaragoza,42,25.9,11,336Th,14.10
AD Alcorcón,37,25.2,8,357Th,13.20
CD Numancia,33,26.1,6,391Th,12.90
SD Huesca,31,27.3,8,403Th,12.50
CD Lugo,33,25.1,7,353Th,11.65
UCAM Murcia CF ,33,27.9,6,305Th,10.05
